car_x,car_y,obs_x,obs_y,result
342,300,271.25,300,1
342,300,271.25,300,1
342,300,271.25,382,0
282,300,332.5,300,1
282,300,332.5,300,1
282,300,332.5,300,1
282,300,332.5,300,1
282,300,332.5,300,1
342,300,332.5,382,0
282,300,271.25,262,0
282,300,271.25,262,0
282,300,271.25,262,0
282,300,271.25,262,0
342,300,271.25,300,1
342,300,271.25,300,1
282,300,271.25,382,0
332,300,332.5,266,0
282,300,271.25,262,0
342,300,271.25,300,1
342,300,271.25,300,1
282,300,332.5,300,1
342,300,271.25,300,1
282,300,332.5,300,1
342,300,271.25,300,1
342,300,271.25,300,1
282,300,271.25,382,0
282,300,271.25,384,0
282,300,271.25,386,0
282,300,271.25,388,0
282,300,271.25,390,0
